Site number,Site name,Station number,Station name,Longitude,Latitude,Height,Station characteristic,Water Account,wra-river,wra-site-catchment,wra-StorageType,wra-order-in-river,wra-distance-from-start
Storages,Storages,203042,TOONUMBAR DAM,152.7936,-28.6185,,GN_STATION|RE_STATION|WRA_STATION,Hunter,Ironpot Creek,Ironpot Creek,STO-Major,,
Storages,Storages,210097,GLENBAWN DAM,150.9926,-32.1026,,GN_STATION|RE_STATION|WRA_STATION,Hunter,Hunter,Hunter River,STO-Major,50,133285
Storages,Storages,210102,LOSTOCK DAM,151.4569,-32.3292,,GN_STATION|RE_STATION|WRA_STATION,Hunter,Patterson River,Patterson River,STO-Major,,
Storages,Storages,210117,GLENNIES CREEK DAM,151.2486243,-32.36342393,,GN_STATION|RE_STATION|WRA_STATION,Hunter,Glennies Creek,Glennies Creek,STO-Major,2000,4155
Storages,Storages,219027,BROGO DAM,149.742,-36.4911,,GN_STATION|RE_STATION|WRA_STATION,Hunter,Brogo River,Brogo River,STO-Major,,
Storages,Storages,401027,HUME DAM STORAGE,147.0539,-36.0885,,GN_STATION|RE_STATION|WRA_STATION,Murray,Murray,Murray River,STO-Major,,
Storages,Storages,410102,BLOWERING DAM,148.2429,-35.4012,0.051,GN_STATION|RE_STATION|WRA_STATION,Murrumbidgee,Tumut River,Tumut River,STO-Major,50,131407
Storages,Storages,410131,BURRINJUCK DAM,148.5989,-35,351.688,GN_STATION|RE_STATION|WRA_STATION,Murrumbidgee,Murrumbidgee River,Murrumbidgee River,STO-Major,650,356661
Storages,Storages,410190,BUNDIDGERRY STORAGE,146.634,-34.767,0,GN_STATION|RE_STATION|WRA_STATION,Murrumbidgee,Main Canal,Murrumbidgee River,STO-Minor,,
Storages,Storages,412010,WYANGALA STORAGE,148.9517,-33.9688,,GN_STATION|RE_STATION|WRA_STATION,Lachlan,Lachlan,Lachlan River,STO-Major,450,205825
Storages,Storages,412048,LAKE BREWSTER WEIR,145.9863,-33.395,,GN_STATION|RE_STATION|WRA_STATION,Lachlan,Lachlan,Lachlan River,STO-Minor,1700,869662
Storages,Storages,412106,CARCOAR DAM,149.1776,-33.6179,,GN_STATION|RE_STATION|WRA_STATION,Belubula,Belubula,Belubula River,STO-Major,50,41271
Storages,Storages,412107,CARGELLIGO STORAGE,146.380067,-33.3,,GN_STATION|RE_STATION|WRA_STATION,Lachlan,Lachlan,Lachlan River,STO-Minor,1450,754204
Storages,Storages,412108,BREWSTER STORAGE,145.9419,-33.4231,,GN_STATION|RE_STATION|WRA_STATION,Lachlan,Lachlan,Lachlan River,STO-Major,,
Storages,Storages,412172,JEMALONG STORAGE,147.776,-33.3999,,GN_STATION|RE_STATION|WRA_STATION,Lachlan,Lachlan,Lachlan River,STO-Minor,1100,457467
Storages,Storages,416030,PINDARI DAM,151.243,-29.3854,,GN_STATION|RE_STATION|WRA_STATION,Border Rivers,Macintyre River,Severn River,STO-Major,950,144731
